student_ID,grade1,grade2,content_view,information_view,homework_view,discussion,gender,major,totalLearningTime,totalLearningFrequency
1102,1.052685926,2.006429514,63,21,24,6,male,science,118032,54
1103,2.427723017,2.256109175,50,24,50,33,male,sport,255557,47
1104,1.562537746,2.163333238,71,15,20,6,female,literature,128839,67
1105,1.509789791,1.970950594,10,0,3,8,male,sport,63498,10
1106,2.191999844,1.977159583,161,4,23,17,female,science,233830,126
1107,1.318372711,2.214835427,28,2,13,24,male,sport,158186,32
1108,1.905989574,2.075403661,49,7,11,18,male,science,159843,49
1109,1.41231868,1.954685947,20,1,7,0,male,literature,45505,18
1110,1.979905491,1.808992963,76,1,4,0,male,literature,115393,36
1111,0.998737024,2.11306692,47,5,16,9,female,science,126626,47
1112,1.813581811,2.182605779,74,10,21,21,female,literature,347165,73
1113,1.437880699,1.758239073,52,10,19,10,male,sport,228081,50
1114,1.689865201,1.718782892,20,0,2,8,male,sport,51254,19
1115,2.09788816,1.700347556,475,14,36,44,female,science,138403,179
1116,1.527199251,1.952819531,21,2,4,10,male,sport,82889,16
1117,0.986562433,1.89134059,90,121,45,15,male,science,190879,84
1118,2.520016718,1.822836277,36,0,1,4,male,literature,62572,32
1119,1.069234987,2.065765216,25,0,11,12,male,sport,134106,23
1120,1.205239457,1.752453426,62,17,14,17,male,science,145572,58
1121,1.80291843,1.959103845,121,29,58,56,female,sport,162846,80
1122,0.978057441,1.977235445,23,0,5,9,female,sport,161571,20
1123,2.121028093,2.166142943,68,4,23,24,male,sport,141315,52
1124,1.135958319,1.697339736,49,15,21,23,male,sport,103985,30
1125,1.181347786,2.035995395,38,4,7,24,female,sport,114965,31
1126,1.300872305,1.981937064,32,8,13,36,male,sport,151161,30
1127,0.952158517,2.425608112,32,2,4,0,male,science,267545,32
1128,0.990413773,1.932804578,21,11,10,24,male,sport,77147,17
1129,2.12823093,1.975282135,82,22,42,33,female,sport,134414,68
1130,0.96396511,2.474050747,77,1,1,12,female,science,75911,57
1131,1.897260132,2,6,0,0,0,female,literature,3308,4
1132,1.300342707,1.987537897,51,4,46,7,female,sport,162358,46
1133,1.581941395,2.084811381,95,6,27,44,female,sport,130382,88
1134,2.333159229,1.740889226,78,2,23,3,female,literature,85484,61
1135,1.693900279,1.839077165,65,3,8,4,female,science,55377,56
1136,1.139603215,1.719973094,22,1,5,15,male,science,26797,20
1137,0.978782041,2.346623552,54,15,24,39,female,sport,105499,51
1138,0.961236605,2.168250089,65,3,6,30,female,science,144617,59
1139,2.129603459,1.922292189,33,0,0,83,female,literature,34384,25
1140,2.151430516,1.96015542,70,14,39,59,female,sport,213058,68
1141,1.89067621,1.870017022,70,4,7,32,female,science,119312,62
